Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct,latitude,longitude
459868,Bronx Night Market,12/22/2019 01:00:00 PM,12/22/2019 10:30:00 PM,Street Activity Permit Office,Plaza Event,Bronx,Fordham Plaza: Fordham Plaza EAST FORDHAM ROAD between WEBSTER AVENUE and FIREFIGHTERS BOULEVARD,Full,Pedestrian Plaza,"6,","48,",40.861595,-73.89106799999999
518518,Plaza de las Americas,12/17/2019 07:00:00 AM,12/17/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
468135,Miscellaneous,12/05/2019 07:00:00 AM,12/05/2019 03:00:00 PM,Parks Department,Special Event,Manhattan,"Booker T. Washington Playground: Soccer-01 ,Booker T. Washington Playground: Softball-01 ,Moore Playground: Softball-01 ,Playground one Twenty Five CXXV (PS 125): Softball-01 ,Holcombe Rucker Park: Softball-01 ,Tecumseh Playground: Softball-01 ,Wagner Playground: Soccer-01 ,Wagner Playground: Softball-01 ,Jacob H. Schiff Playground: Soccer-01 ,Jacob H. Schiff Playground: Softball-01 ,Peter's Field: Soccer-01 ,Peter's Field: Softball-01 ,Happy Warrior Playground: Softball-01 ,Sol Lain Plgd: Softb","",N/A,"03, 06, 07, 09, 10, 11,","13, 20, 24, 25, 26, 30, 32, 7,",40.8009054,-73.9637367
468135,Miscellaneous,12/11/2019 07:00:00 AM,12/11/2019 03:00:00 PM,Parks Department,Special Event,Manhattan,"Booker T. Washington Playground: Soccer-01 ,Booker T. Washington Playground: Softball-01 ,Moore Playground: Softball-01 ,Playground one Twenty Five CXXV (PS 125): Softball-01 ,Holcombe Rucker Park: Softball-01 ,Tecumseh Playground: Softball-01 ,Wagner Playground: Soccer-01 ,Wagner Playground: Softball-01 ,Jacob H. Schiff Playground: Soccer-01 ,Jacob H. Schiff Playground: Softball-01 ,Peter's Field: Soccer-01 ,Peter's Field: Softball-01 ,Happy Warrior Playground: Softball-01 ,Sol Lain Plgd: Softb","",N/A,"03, 06, 07, 09, 10, 11,","13, 20, 24, 25, 26, 30, 32, 7,",40.8009054,-73.9637367
468135,Miscellaneous,12/26/2019 07:00:00 AM,12/26/2019 03:00:00 PM,Parks Department,Special Event,Manhattan,"Booker T. Washington Playground: Soccer-01 ,Booker T. Washington Playground: Softball-01 ,Moore Playground: Softball-01 ,Playground one Twenty Five CXXV (PS 125): Softball-01 ,Holcombe Rucker Park: Softball-01 ,Tecumseh Playground: Softball-01 ,Wagner Playground: Soccer-01 ,Wagner Playground: Softball-01 ,Jacob H. Schiff Playground: Soccer-01 ,Jacob H. Schiff Playground: Softball-01 ,Peter's Field: Soccer-01 ,Peter's Field: Softball-01 ,Happy Warrior Playground: Softball-01 ,Sol Lain Plgd: Softb","",N/A,"03, 06, 07, 09, 10, 11,","13, 20, 24, 25, 26, 30, 32, 7,",40.8009054,-73.9637367
512150,Soccer -Regulation,12/17/2019 07:00:00 AM,12/17/2019 10:00:00 PM,Parks Department,Sport - Adult,Manhattan,"Randall's Island Park: East River Fields-Soccer-84 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: E","",N/A,"11,","25,",40.7845381,-73.93463249999999
512150,Soccer -Regulation,12/06/2019 07:00:00 AM,12/06/2019 10:00:00 PM,Parks Department,Sport - Adult,Manhattan,"Randall's Island Park: East River Fields-Soccer-84 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: E","",N/A,"11,","25,",40.7845381,-73.93463249999999
518518,Plaza de las Americas,12/31/2019 07:00:00 AM,12/31/2019 07:00:00 PM,Street Activity Permit Office,Miscellaneous,Manhattan,Plaza de Las Americas: Plaza de Las Americas WEST  175 STREET between BROADWAY and WADSWORTH AVENUE,Full,Pedestrian Plaza,"12,","33,",40.84609080000001,-73.9380967
512150,Soccer -Regulation,12/15/2019 07:00:00 AM,12/15/2019 10:00:00 PM,Parks Department,Sport - Adult,Manhattan,"Randall's Island Park: East River Fields-Soccer-84 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: E","",N/A,"11,","25,",40.7845381,-73.93463249999999
519518,OUR LADY OF GUADALUPE FEAST PROCESSION,12/12/2019 07:45:00 PM,12/12/2019 08:45:00 PM,Police Department,Parade,Bronx,"627 EAST  187 STREET, EAST  187 STREET between BELMONT AVENUE and CAMBRELENG AVENUE,  CAMBRELENG AVENUE between EAST  187 STREET and EAST  189 STREET,  EAST  189 STREET between CAMBRELENG AVENUE and ARTHUR AVENUE,  ARTHUR AVENUE between EAST  189 STREET and CRESCENT AVENUE,  CRESCENT AVENUE between ARTHUR AVENUE and EAST  187 STREET, 627 EAST  187 STREET","",Full Street Closure,"6,","48,",40.8552103,-73.88637949999999
